ID,Latitude,Longitude,Easting,Northing
CB394,38.98813,-107.00643000000001,326223.2021346115,4317374.154444202
CB399,38.9871,-107.00725,326149.65519351827,4317261.4055569
CB401,38.98657,-107.00647,326215.9212325032,4317201.093960187
CB405,38.9856,-107.00563000000001,326286.3096062783,4317091.835000221
CB406,38.98535,-107.00463,326372.3190941788,4317062.180822133
CB407,38.98442,-107.00341999999999,326474.8587585444,4316956.657417143
CB408,38.98397,-107.00357,326460.766313683,4316907.000086067
CB410,38.97995,-107.00022,326741.1491853666,4316454.459386473
CB412,38.97728,-106.99977,326773.6229603476,4316157.273332291
CB414,38.97525,-106.99837,326889.96104185446,4315929.311249814
CB416,38.97498,-106.99651999999999,327049.57508144644,4315895.829545503
CB417,38.97443,-106.99632,327065.56347244175,4315834.408011803
CB418,38.97322,-106.9962,327073.0155788598,4315699.8885023
CB475,38.9027,-107.01103,325615.49109858816,4307901.538753731
CB477,38.9061,-107.02152,324714.1453455086,4308298.997028568
CB478,38.908879999999996,-107.02481999999999,324434.8282266666,4308613.881787739
CB479,38.92348,-107.03971999999999,323179.0367496697,4310263.051137423
CB480,38.93335,-107.05157,322176.33743358013,4311381.526637248
RP290,39.007670000000005,-106.99885,326927.3913123517,4319528.3616406415
RP295,38.99812,-106.9812,328432.68891264417,4318435.028246446
RP296,38.96992,-107.02673,324419.8775880268,4315392.064451441
