,individual1,individual2,start,endpoint,length
89,3,27,32.42452333784054,32.70567504199046,0.2811517041499201
90,15,29,42.269119096761386,42.345214283526616,0.07609518676522953
91,17,14,40.197134899085555,40.27623852366777,0.07910362458221698
92,19,48,47.638068754338434,47.76182649298255,0.12375773864411599
93,9,45,11.584139883222278,11.639957436415301,0.05581755319302317
94,34,1,2.779487157066775,2.8298768659648488,0.05038970889807359
95,49,9,31.614466916508288,31.767769160176243,0.1533022436679552
96,49,7,48.436152825164896,48.51730259703605,0.08114977187115358
97,18,8,7.608075176830852,7.690796654478639,0.08272147764778737
98,19,42,48.77064523446728,49.0586698497604,0.28802461529311785
99,2,27,41.05615290751766,41.12128006935207,0.06512716183441114
100,29,26,49.18443319737045,49.23962426137038,0.05519106399992779
101,8,15,35.17210785257865,35.22376672444112,0.051658871862471756
